0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-0.021014,0.142435,0.103513,-0.119181,-0.133670,0.038681,-0.028667,0.164724,-0.083923,0.149075,-0.077641,0.117735,0.085365,0.004368,-0.188760,-0.109239,-0.138838,-0.100070,0.034964,-0.091693,0.198598,0.160937,0.057483,0.032557,0.107703,0.037187,0.055246,0.237223,0.143201,-0.018528,0.137392,-0.153564,-0.106617,0.040509,-0.046958,0.080592,0.052743,0.043419,0.136124,0.132545,0.131037,0.134633,0.034834,0.022383,0.024775,0.291606,-0.082128,0.017314,0.064127,-0.006928,0.066124,0.007512,-0.006369,-0.113374,0.007756,0.059847,-0.000780,-0.068487,0.004230,-0.000145,0.044448,-0.081924,-0.060750,-0.088880
0.098776,0.062222,-0.093264,-0.000271,0.077108,0.056925,-0.092526,0.211847,-0.015291,-0.031570,0.034428,0.066505,0.094063,-0.034797,0.076426,0.095169,-0.074420,-0.078269,-0.047501,-0.139280,0.140431,0.060857,-0.167396,-0.124531,0.003151,0.105718,0.188539,0.289298,-0.088373,-0.188646,-0.088295,-0.005513,-0.015616,0.009545,0.095504,-0.036114,0.039573,0.037601,-0.025250,0.011050,-0.125694,-0.040066,0.083879,-0.167413,-0.036327,-0.099894,-0.168307,0.004111,-0.024912,0.008699,0.060106,0.036156,0.065764,-0.001342,0.041103,-0.122667,-0.127017,0.086049,-0.130050,0.038224,-0.162271,-0.038946,0.110218,-0.035166
-0.017982,-0.020136,0.009536,0.022670,-0.000140,0.134463,0.139082,0.172079,0.103671,0.126919,-0.043347,0.159848,0.092067,0.070726,-0.163648,-0.065573,-0.127782,0.067995,0.039542,0.041129,0.150092,-0.024561,-0.037666,0.053212,-0.096069,-0.084052,-0.054445,0.033899,0.156972,-0.201394,0.071952,-0.134257,0.013497,-0.072876,0.078054,-0.108381,-0.031982,-0.067143,0.039128,0.120385,-0.097140,0.107546,0.039869,-0.111846,0.096072,-0.016484,-0.121369,-0.043340,-0.122555,-0.042181,0.036101,-0.052774,-0.133384,0.042398,0.147671,-0.070377,-0.039098,0.051193,-0.054366,-0.136580,0.094821,0.056677,-0.042180,-0.024334
0.156754,0.017955,0.128956,-0.065728,0.024972,0.040507,0.119616,0.018603,0.089837,-0.074168,-0.187150,-0.037759,0.106815,0.002612,-0.070401,-0.055506,0.024269,-0.113379,0.085465,-0.140345,-0.015651,-0.267893,0.116740,-0.063028,-0.108163,0.035343,-0.016086,-0.087821,0.075736,-0.143786,-0.089989,-0.014890,-0.023174,0.090077,0.135541,-0.147515,-0.134915,-0.087916,0.066649,-0.093991,-0.040021,0.124004,0.025700,0.008891,0.170803,0.049853,-0.077372,-0.065461,0.073332,0.105533,-0.045642,-0.002661,0.043745,-0.023770,-0.179530,-0.044614,0.000700,-0.021914,-0.030020,-0.067371,-0.060115,-0.010881,0.108221,-0.139922
-0.003144,0.002187,0.199588,0.054106,-0.020476,-0.147166,0.060983,0.096023,0.004115,0.106779,0.006871,0.240428,-0.124757,-0.107090,-0.010299,0.029585,-0.075975,0.084536,0.136844,-0.080379,-0.151738,0.055779,0.055327,0.114711,0.105783,0.249165,0.031933,-0.082923,0.011047,0.036728,0.054308,-0.092686,-0.174741,0.047346,0.118781,-0.003118,0.117843,-0.049106,0.082917,0.014401,-0.031090,0.026419,0.196516,-0.056528,0.086260,-0.124231,0.172807,-0.010331,0.049583,0.199624,0.007730,-0.030819,-0.014158,0.029837,0.107925,0.332483,-0.084040,0.039320,0.055007,-0.123179,0.187807,-0.052112,0.087699,0.032780
-0.113232,-0.129113,0.119892,-0.193529,-0.064430,-0.054542,0.199904,-0.009866,0.002558,0.067768,-0.048266,0.038896,-0.043874,0.106813,0.140106,0.027207,-0.037651,0.182443,0.000146,0.115514,-0.157850,-0.191837,-0.212169,-0.011053,-0.025114,0.027454,-0.037353,0.080740,0.049540,0.106707,-0.112258,0.131296,-0.005196,-0.036719,0.051281,-0.141416,-0.109096,0.024848,0.090067,-0.032372,-0.091751,-0.270963,-0.067384,-0.096490,-0.164909,0.031963,0.076638,-0.001222,0.041457,0.078294,-0.079385,-0.002029,0.053404,-0.040836,-0.094283,0.183066,0.230351,-0.072704,0.186992,0.019843,0.025956,-0.077744,-0.005247,-0.045013
-0.037393,-0.160277,-0.104576,0.092513,-0.077295,0.013203,-0.133939,-0.015098,-0.085512,0.008783,0.026356,-0.082536,-0.075989,-0.183049,0.045692,-0.031067,0.130119,0.044970,-0.091935,0.183384,-0.114531,0.057044,-0.109948,0.070900,0.042038,0.175528,0.112084,0.010097,-0.074739,0.084205,0.123645,-0.073703,0.116416,0.230753,0.082881,0.057085,0.048422,-0.023537,-0.026420,-0.061581,-0.099508,0.085670,-0.029721,-0.028771,-0.106603,-0.040076,-0.148138,-0.030652,-0.017955,-0.108225,0.041466,0.016782,0.021743,0.149862,0.028838,0.082281,-0.089822,-0.109621,-0.014730,-0.077376,0.048486,0.103776,-0.097060,0.028194
-0.022393,0.059634,0.166201,-0.097462,-0.017615,0.048689,-0.081718,-0.126162,0.124846,-0.133587,0.066842,-0.126354,0.119653,0.068319,-0.101439,-0.107340,-0.119663,-0.000897,0.006817,0.085603,-0.160648,-0.047954,0.044018,0.062688,0.008451,0.075936,-0.286279,0.145539,0.082023,-0.087020,0.065645,-0.003519,-0.138994,0.046525,0.131369,-0.004733,-0.134048,0.245111,0.084731,-0.003369,-0.098274,0.015060,0.066523,0.067508,-0.047104,0.041062,0.111003,0.020963,0.008002,0.052216,-0.012864,0.120397,-0.034857,-0.205865,0.074833,-0.001405,0.013304,0.075066,-0.091977,-0.135652,-0.012873,0.097606,-0.095584,0.016556
-0.090897,-0.059455,0.113033,-0.106887,-0.083750,-0.056388,0.135682,-0.078050,0.039764,-0.119867,-0.060840,0.068479,-0.037690,-0.185970,-0.110534,-0.122914,-0.022851,0.041217,0.045227,-0.057989,-0.164378,-0.119007,0.012503,-0.198878,-0.148676,-0.069369,-0.120799,0.068773,0.019801,-0.253139,0.107741,0.156003,0.011302,-0.062009,0.128874,0.195683,-0.001641,0.059293,-0.063572,0.020388,-0.000628,-0.031964,-0.081829,0.079157,0.027353,0.008818,0.168555,0.000347,0.043688,-0.082240,0.066397,-0.109411,0.147033,0.139832,-0.059737,-0.190552,-0.040378,-0.119069,0.057945,-0.069907,0.227931,-0.103703,-0.066829,0.015251
-0.023331,0.257687,0.130558,0.060375,-0.077850,0.101408,0.041852,0.077891,0.008648,-0.195878,0.061397,-0.056642,0.016614,0.048586,0.092043,-0.163484,-0.105911,0.028670,0.015548,-0.125810,-0.067441,0.191346,-0.104429,-0.078019,-0.073676,0.132846,-0.171512,-0.091560,0.146714,-0.047592,0.045715,-0.044638,0.054628,0.012998,0.015163,-0.038669,0.192074,0.035851,0.001107,0.089180,-0.118521,-0.091029,-0.043702,-0.046614,0.159449,0.126522,0.079595,0.086900,0.188623,0.053274,-0.211619,-0.014835,-0.089582,0.159907,0.040485,-0.022214,-0.013972,-0.036161,0.102216,-0.069126,0.031587,-0.069289,0.038843,-0.158514
